25,Clerodendrum quadriloculare,"Also called bronze-leaved clerodendrum, fire works, Philippine glorybower, shooting star or starburst bush, these plants produce flowers that can be a pest to eradicate. This is one of the tropic's most beautiful flowering shrubs. Large, dark-green and burgundy leaves are the backdrop for firework-resembling, pink and white flower clusters in late winter and early spring."
26,Clitoria ternatea,"Commonly known as Asian pigeonwings, bluebellvine, blue pea, butterfly pea, cordofan pea and Darwin pea, is a plant species belonging to the Fabaceae family. The flowers of this vine were imagined to have the shape of human female genitals, hence the Latin name of the genus ""Clitoria"", from ""clitoris""."
27,Cocos nucifera,"The coconut palm, is a monocot perennial member of the Arecaceae family, cultivated in tropical areas worldwide for its fruit and fiber. Coconut palms are medium-sized, solitary herbaceous plants. Although treelike in form, their trunks are composed not of wood, but of fibrous, stout, overlapping stems, and may grow to 80 ft tall."
28,Codiaeum variegatum,"Garden croton or variegated croton, this is a species of plant in the genus Codiaeum, which is a member of the family Euphorbiaceae. There are several hundred cultivars, selected and bred for their foliage. Depending on the cultivar, the leaves may be ovate to linear, entire to deeply lobed or crinkled, and variegated with green, white, purple, orange, yellow, red or pink."
29,Couroupita guianensis,"Known by a variety of names including cannonball tree, it is cultivated in many tropical areas because of its beautiful, fragrant flowers and large fruits. Couroupita guianensis is a tree that reaches heights of up to 110 ft tall. It is planted as an ornamental for its showy, scented flowers, and as a botanical specimen for its interesting fruit."
30,Crescentia cujete,"Commonly known as the Calabash Tree, is species of flowering plant with simple leaves, which are alternate or in fascicles on short shoots. The fruit, called Jícara, Bule, Tecomate, Guaje, Morro or Huacal in Mexico, is used to make small vessels for serving or drinking. ,The tree shares its common name with that of the vine calabash, or bottle gourd."
31,Crinum asiaticum,"Also known as poison bulb, giant crinum lily, grand crinum lily, or spider lily, this is a plant species widely planted in many warmer regions as an ornamental. It is a bulb-forming perennial producing an umbel of large, showy flowers that are prized by gardeners. All parts of the plant are, however, poisonous if ingested. Some reports indicate exposure to the sap may cause skin irritation."
32,Cupressus sempervirens,"Also known as Italian cypress, Tuscan cypress, Persian cypress, or pencil pine, this is a medium-sized coniferous evergreen tree to 115 ft tall. It is a medium-sized coniferous evergreen tree to 115 ft tall, with a conic crown with level branches and variably loosely hanging branchlets. It is very long-lived, with some trees reported to be over 1,000 years old."
33,Cyperus papyrus,"Known as papyrus, papyrus sedge, paper reed, Indian matting plant, and Nile grass, this is a species of aquatic flowering plant belonging to the family Cyperaceae. It has a very long history of use by humans, it is the source of papyrus paper. Parts of the plant can be eaten, and the highly buoyant stems can be made into boats. It is now often cultivated as an ornamental plant."
34,Delonix regia,"The flame tree is a species of flowering plant in the bean family Fabaceae. It is noted for its fern-like leaves and flamboyant display of flowers. In many tropical parts of the world it is grown as an ornamental tree and in English it is given the name royal poinciana or flamboyant. It is also one of several trees known as ""flame tree""."
35,Dendrobium sp,"These plants belong to a large and diverse genus of orchids. The name is from the Greek dendron (""tree"") and bios (""life""); it means ""one who lives on trees"". They are either epiphytic, or occasionally lithophytic. They have adapted to a wide variety of habitats, from the high altitudes in the Himalayan mountains to lowland tropical forests and even to the dry climate of the Australian desert."
36,Dichorisandra thyrsiflora,"The blue ginger is a species of tropical flowering plant which resembles ginger in growth and habit but is actually related to the spiderworts (the genus Tradescantia). it is cultivated for its handsome spotted stems and large shiny foliage which is held horizontally, surmounted by striking blue flowers. The Latin specific epithet thyrsiflora means “with flower clusters resembling thyme”."
37,Eichhornia crassipes,"Commonly known as common water hyacinth, is an aquatic plant and often a highly problematic invasive species. One of the fastest growing plants known, water hyacinth reproduces primarily by way of runners or stolons, which eventually form daughter plants. Each plant additionally can produce thousands of seeds each year, and these seeds can remain viable for more than 28 years."
38,Elaeocarpus grandis,"It is commonly known as blue marble tree, and also as blue fig or blue quandong, although it is not closely related to figs. The fruit of this species is round and blue, and it has a seed with deep convolutions in its shell. These are eaten whole by cassowaries, woompoo pigeon and spectacled flying foxes, which pass the nut undamaged."
39,Erythrina crista-galli,"Often known as the cockspur coral tree, is a flowering tree in the family Fabaceae. It is known by several common names such as ceibo, seíbo, corticeira, and bucaré. This species characteristically grows wild in gallery forest ecosystems along watercourses, as well as in swamps and wetlands. In urban settings, it is often planted in parks for its bright red flowers."
40,Eucalyptus deglupta,"Commonly known as the rainbow eucalyptus, Mindanao gum, or rainbow gum. It is characterized by multi-colored bark featuring hues of blue, purple, orange and maroon. It thrives in rich, medium to wet soil in full sun and is intolerant of frost. In its native habitat, it grows up to 6 ft wide and over  250 ft tall."
41,Eugenia uniflora,"Commonly known as pitanga, Suriname cherry, Brazilian cherry, Cayenne cherry, or Cerisier Carré, is a plant in the family Myrtaceae. It is characterized by multi-colored bark featuring hues of blue, purple, orange and maroon. It thrives in rich, medium to wet soil in full sun and is intolerant of frost."
42,Ficus microcarpa,"Also known as Chinese banyan, Malayan banyan, Indian laurel, curtain fig, or gajumaru, is a tree in the fig family Moraceae. The largest known specimen is at the Menehune Botanical Gardens near Nawiliwili, Kauai, Hawai'i which is 110 ft in height, 250 ft in crown spread, and having over one thousand aerial trunks."
43,Filicium decipiens,"Known as fern tree, Japanese fern tree, Pihimbiya, or Thika palm, is a slow-growing tree with a straight, short trunk and a dense, neatly shaped rounded crown. It is a pleasant and graceful specimen whose small size makes it ideal for your yard or home landscape. The tree is most easily recognizable for its odd foliage."
44,Gardenia brighamii,"Commonly known as nanu, na'u, or forest gardenia, is a species of flowering plant in the coffee family, Rubiaceae, that is endemic to Hawaii. It is a small tree, reaching a height of 16 ft. The glossy, dark green leaves are ovate. The petals of the solitary, white flowers are fused at the base and have six lobes."
45,Gomphrena globosa,"Commonly known as globe amaranth, makhmali, and vadamalli, is an edible plant from the family Amaranthaceae. The round-shaped flower inflorescences are a visually dominant feature and cultivars have been propagated to exhibit shades of magenta, purple, red, orange, white, pink, and lilac. Within the flowerheads, the true flowers are small and inconspicuous."
46,Guaiacum officinale,"Commonly known as roughbark lignum-vitae, guaiacwood or gaïacwood, is a species of tree in the caltrop family named Zygophyllaceae. This small tree is very slow growing, reaching about 33 ft in height. The tree is essentially evergreen throughout most of its native range. The blue flowers have five petals that yield a bright-yellow-orange fruit with red flesh and black seeds."
47,Harpullia pendula,"Known as the tulipwood or tulip lancewood, is a small to medium-sized rainforest tree. The tree's size, pleasant form and attractive fruit ensures its popularity of this ornamental tree. Tulipwood occurs in various types of rainforest, by streams or dry rainforests on basaltic or alluvial soils. In tropical and sub tropical rainforest. "
48,Hedychium coronarium,"Commonly known as white garland-lily or white ginger lily, is a perennial flowering plant in the Zingiberaceae (ginger) family. It is commonly cultivated in warm temperate and subtropical regions of the world as an ornamental and cultivated in China for use in medicine and production of aromatic oil due to its strong characteristic fragrance of the flowers said to be reminiscent of jasmine."
49,Hemigraphis alternata,"Also known as red ivy, red-flame ivy, or waffle plant, is a member of the Acanthaceae family. It is a prostrate plant with purple colored leaves. The leaves are hairy and opposite, and one leaf of a pair is much larger than the other.  The flowers of the plant grow from where the leaf meets the stem, and are white with purple penciling."
50,Hibiscus rosa-sinensis,"Known colloquially as Chinese hibiscus, China rose, Hawaiian hibiscus, rose mallow or shoeblackplant, is a flowering plant in the Hibisceae tribe of the family Malvaceae. It is a bushy, evergreen shrub or small tree growing up to 16 ft tall, with glossy leaves and solitary, brilliant red flowers in summer and autumn with prominent orange-tipped red anthers."
51,Hippeastrum reticulatum,"Commonly know as netted-veined amaryllis, is a flowering perennial herbaceous bulbous plant, in the Amaryllidaceae family. A defining characteristic of this species is an unusual and exquisite venation of the petals, darker than the purple to pink background color. The seeds are unusual for Hippeastrum in being orange-red, round, turgid and fleshy rather than black and paper like."
52,Impatiens walleriana,"Also known as busy Lizzie, balsam, sultana, or simply impatiens, is a flowering herbaceous perennial plant growing up to 2 ft tall. Leaves are mostly alternate, although they may be opposite near the top of the plant. The stems are semi-succulent, and all parts of the plant (leaves, stems, flowers, roots) are soft and easily damaged."
53,Ixora sp,"Common names include viruchi, rangan, kheme, ponna, chann tanea, techi, pan, siantan, jarum-jarum/jejarum, jungle flame, jungle geranium, cruz de Malta among others. Though native to the tropical and subtropical areas throughout the world, its centre of diversity is in Tropical Asia. It also grows commonly in subtropical climates in the United States, such as Florida where it is commonly known as West Indian Jasmine."
54,Jasminum sambac,"The Arabian jasmine, is a species of jasmine cultivated in many places for its attractive and sweetly fragrant flowers. It is a small shrub or vine growing up to 10 ft in height. The flowers may be used as a fragrant ingredient in perfumes and jasmine tea. It is the national flower of the Philippines, where it is known as sampaguita, as well as being one of the three national flowers of Indonesia, where it is known as melati putih."
55,Justicia brandegeana,"Mexican shrimp plant, shrimp plant or false hop, is an evergreen shrub in the genus Justicia of the family Acanthaceae. The flowers are white, extending from red bracts which look a bit like a shrimp, hence the shrub's common name, shrimp flower.The species is named after the American botanist Townshend Stith Brandegee."
56,Kigelia africana,"Kigelia is a genus of flowering plants in the family Bignoniaceae. Other common names are sausage tree, cucumber tree, and sausage-like fruit. It is a bushy evergreen shrub growing to 3 ft tall. The stems and leaves are downy. The leaves are variegated and usually grow in clusters on the branches. As the plant receives more sun, the amount of creamy white on the speckled leaves will increase, and vice versa."
57,Koelreuteria formosana,"More commonly known as Flamegold rain tree or Taiwanese rain tree, is a deciduous tree up to 50 ft tall. It is widely grown throughout the tropics and sub-tropical parts of the world as a street tree. It flowers in early to mid-summer. Flowers are small and occur in branched clusters at the stem tips. They are butter-yellow with five petals that vary in length until opening."
58,Lantana montevidensis,"Known by many common names, such as trailing lantana, weeping lantana, creeping lantana, small lantana, purple lantana or trailing shrubverbena. It is a small strongly scented flowering low shrub with oval-shaped green leaves. With support it has a climbing 'vine' form, when on edge a trailing form, and on the flat a groundcover form."
59,Leea guineensis,"Commonly called, West Indian holly, Hawaiian holly or burgundy leea, is a tropical evergreen shrub to small tree that typically grows in outdoor. This is an understory species that typically grows in its native habitat on forest floors in shady locations under the cover of taller trees where it typically adapts well to low light levels."
60,Litchi chinensis,"Llitchi, liechee, liche, lizhi or li zhi, or lichee, is the sole member of the genus Litchi in the soapberry family, Sapindaceae. A tall evergreen tree, the lychee bears small fleshy fruits. The outside of the fruit is pink-red, roughly textured and inedible, covering sweet flesh eaten in many different dessert dishes. Since the perfume-like flavor is lost in the process of canning, the fruit is usually eaten fresh."
61,Lonicera japonica,"Known as golden-and-silver honeysuckle and Japanese honeysuckle, is a twining vine able to climb up to 33 ft high or more in trees. The flowers are double-tongued, opening white and fading to yellow, and sweetly vanilla scented. The fruit is a black spherical berry containing a few seeds. This species is often sold by American nurseries as the cultivar 'Hall's Prolific'."
62,Lophostemon confertus,"Common names include brush box, Queensland box, Brisbane box, pink box, box scrub, and vinegartree. In the wild its habitat ranges from moist open forest and rainforest ecotones, where it might reach heights of 130 ft or more, to coastal headlands where it acquires a stunted, wind-sheared habit. Dome-like in shape, it has a denser foliage with dark green, leathery leaves and hence provides more shade than eucalypts."
63,Magnolia grandiflora,"Commonly known as the southern magnolia or bull bay, is a tree of the family Magnoliaceae. Reaching 90 ft in height, it is a large striking evergreen tree. Although endemic to the lowland subtropical forests on the Gulf and south Atlantic coastal plain, it is widely cultivated in warmer areas around the world. The timber is hard and heavy, and has been used commercially to make furniture, pallets, and veneer."
64,Mangifera indica,"Commonly known as mango, is a species of flowering plant in the sumac and poison ivy family Anacardiaceae. Hundreds of cultivated varieties have been introduced to other warm regions of the world. It is a large fruit-tree, capable of a growing to a height and crown width of about 100 ft and trunk circumference of more than 12 ft."
65,Metrosideros polymorpha,"The Ohi'a lehua, is a species of flowering evergreen tree in the myrtle family, Myrtaceae, that is endemic to the six largest islands of Hawaii. It is a highly variable tree, being up to 82 ft tall in favorable situations, and a much smaller prostrate shrub when growing in boggy soils or directly on basalt. It produces a brilliant display of flowers, made up of a mass of stamens, which can range from fiery red to yellow."
66,Musa x paradisiaca,This is the accepted name for the hybrid between Musa acuminata and Musa balbisiana. Almost all cultivated plantains and many cultivated bananas are triploid cultivars of this species. It is believed that Southeast Asian farmers first domesticated M. acuminata. When the cultivated plants spread north-west into areas where M. balbisiana was native.
67,Nandina domestica,"Commonly known as nandina, heavenly bamboo or sacred bamboo, is a species of flowering plant in the family Berberidaceae. Despite the common name, it is not a bamboo but an erect evergreen shrub up to 7 ft tall, with numerous, usually unbranched stems growing from ground level. The glossy leaves are sometimes deciduous in colder areas."
68,Norantea guianensis,"Commonly known as Red Hot Poker Vine, Red Popcorn, Conoro-antegri, or Karakara, is a large woody vine, climbing up to 30 ft with adventitious roots. Leaves glossy green, smooth and thick; young leaves orangey or reddish.Flowers small and insignificant, borne along middle axis of elongated terminal racemes."
69,Orthosiphon aristatus,"It is known as kumis kucing in Indonesia and misai kucing in Malaysia. In the US it may be commonly known as cat's whiskers or Java tea. It is mainly taken to stimulate urination. According to Indonesian and Malaysian folk medicine, bladder or kidney pain, gout, rheumatism and arteriosclerosis can be treated by drinking a decoction of leaves boiled in water."
70,Pandanus tectorius,"Common names include Tahitian screwpine, thatch screwpine, hala tree, pandanus, and pu hala in Hawaiian. The fruit is sometimes known as hala fruit. is a small tree that grows upright to reach up to 46 ft in height. It is supported by prop roots that firmly anchors the tree to the ground. Roots sometimes grow along the branch, and they grow a wide angles in proportion to the trunk."
71,Pentas lanceolata,"Commonly known as Egyptian starcluster, is known for its wide use as a garden plant where it often accompanies butterfly gardens. It is a tropical woody-based perennial or subshrub that grows 6 ft tall in its native habitat. It is also a many-branched, somewhat sprawling plant that features rounded clusters of star-shaped flowers over a long summer to frost bloom. "
72,Persea americana,"The avocado is a tree member of the flowering plant family Lauraceae. Avocado refers to the tree's fruit, which is botanically a large berry containing a single large seed. Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world. They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical."
73,Petrea volubilis,"Petrea is a genus of evergreen flowering vines that have rough-textured leaves, hence the common name sandpaper vine. The tubular blue flowers only last a few days but the larger and more showy bluish purple calyces remain, fading first to blue and finally to a pale gray color. The dark green foliage acts as a foil to the pale calyces, so that the floral display appears as pale stars on a dark background."
74,Phytolacca dioica,"Commonly known as ombú, is a massive evergreen tree and has an umbrella-like canopy that spreads to a diameter up to 50 ft and can attain a height up to 60 ft. Because it is derived from herbaceous ancestors, its trunk consists of anomalous secondary thickening rather than true wood. As a result, the ombú grows fast but its wood is soft and spongy enough to be cut with a knife."
75,Plectranthus scutellarioides,"Commonly known as coleus, is a species of flowering plant in the family Lamiaceae. Another common name is painted nettle, reflecting its relationship to deadnettles. Typically growing to 2 ft tall and wide, it is a bushy, woody-based evergreen perennial, widely grown for the highly decorative variegated leaves found in cultivated varieties."
76,Podranea ricasoliana,"Podranea, is a genus of one or two species of African flowering vines in the Bignoniaceae family. It is a very showy plant with its glossy foliage and abundance of attractive pink flowers. It is also a vigorous, woody, rambling, evergreen climber without tendrils. The leaves are compound and a deep glossy green."
77,Portulacaria afra,"Also known as elephant bush, dwarf jade plant, porkbush, and spekboom, is a small-leaved succulent plant. It is a soft-wooded, semi-evergreen upright shrub or small tree, usually up to 15 ft tall. It is popular as an indoor bonsai, and as a hardy xeriscaping plant. Several varieties exist - some bred in cultivation, others naturally occurring."
78,Punica granatum,"The pomegranate is a fruit-bearing deciduous shrub or small tree in the family Lythraceae that grows up to 33 ft tall. As intact arils or juice, pomegranates are used in baking, cooking, juice blends, meal garnishes, smoothies, and alcoholic beverages, such as cocktails and wine. The French term for pomegranate, grenade, has given its name to the military grenade."
79,Pyrostegia venusta,"Also commonly known as flamevine or orange trumpetvine, is a plant species of the genus Pyrostegia of the family Bignoniaceae, nowadays a well-known garden species. It is one of the most spectacular flowering vines in cultivation. It is a vigorous, evergreen liana (a name for large woody climbers) that can spread quickly by tendrils to the top of whatever supports it."
80,Quisqualis indica,"Also known as the Chinese honeysuckle or Rangoon creeper, is a vine with red flower clusters. The Rangoon creeper is a ligneous vine that can reach up to 26 ft. The leaves are elliptical with an acuminate tip and a rounded base, and the flowers are fragrant and tubular and their color varies from white to pink to red. "
81,Rhaphiolepis umbellata,"This is a species of flowering plant in the Rosaceae family. Growing to 5 ft tall and wide, it is an evergreen shrub with glossy oval leaves, and scented white flowers, sometimes tinged with pink, in early summer. This plant has gained the Royal Horticultural Society's Award of Garden Merit. It is used in Japan as an astringent and a dyeing agent."
82,Solanum seaforthianum,"The Brazilian nightshade, is a flowering evergreen vine of the Solanaceae family. It is characterized by clusters of four to seven leaves and can climb to a height of 20 ft given enough room. It blooms in the mid to late summer with clusters of star-shaped purple inflorescence followed by scarlet marble-sized berries. The plant is highly heat resistant, but cannot tolerate frost conditions."
83,Spathodea campanulata,"Commonly known as the African tuliptree, fountain tree, pichkari or Nandi flame. The tree grows up to 82 ft tall. It has been nominated as among 100 of the ""World's Worst"" invaders. This tree is planted extensively as an ornamental tree throughout the tropics and is much appreciated for its very showy reddish-orange or crimson (rarely yellow), campanulate flowers."
84,Stemmadenia littoralis,"The milky way tree is an open-branching tree that creates a multi-layered canopy. In the tropics, these trees have a maximum height of around 25 ft. The tubular white flowers of Stemmadenia littoralis can be found on the tree from spring through fall. Only when the cool winter nights set in does the tree stop flowering. While in flower, it is a remarkably floriferous tree."
85,Strelitzia reginae,"Common names include strelitzia, crane flower or bird of paradise, though these names are also collectively applied to other species in the genus Strelitzia. The plant grows to 6.6 ft tall, with large, strong leaves. They are evergreen leaves and arranged in two ranks, making a fan-shaped crown. The flowers stand above the foliage at the tips of long stalks. "
86,Swietenia mahagoni,"Commonly known as the American Mahogany, Cuban Mahogany, and Small-leaved Mahogany, is the species from which the original mahogany wood was produced. It is a medium-sized semi-evergreen tree growing up to 115 ft tall. The leaves are pinnate with four to eight leaflets; there is no terminal leaflet. The flowers are small, produced in panicles. The fruit is a woody capsule containing numerous winged seeds."
87,Symphytum officinale,"Other names include Quaker comfrey, cultivated comfrey, boneset, knitbone, consound, and slippery-root. The hardy plant can grow to a height of 4 ft. Its roots have been used in the traditional Balkan medicine internally (as tea or tincture) or externally (as ointment, compresses,or alcoholic digestion) for treatment of disorders of the locomotor system and gastrointestinal tract."
88,Tabebuia impetiginosa,"Known as pink ipê, pink lapacho, or pink trumpet tree is a native tree of family Bignoniaceae. It is a conspicuous and well-known species with a long history of human use. Consequently, it has a range of local names: ipê-cavatã, ipê-comum, ipê-reto, ipê-rosa, ipê-roxo-damata, lapacho negro, pau d'arco-roxo, peúva or piúva."
89,Tabernaemontana divaricata,"Apocynaceae, commonly called pinwheelflower, crape jasmine, East India rosebay and Nero's crown is an evergreen shrub. The plant generally grows to a height of 5–6 ft and is dichotomously-branched. The large shiny leaves are deep green. The waxy blossoms are found in small clusters on the stem tips. The plant blooms in spring but flowers appear sporadically all year. "
90,Tamarindus indica,"Tamarind is a leguminous tree in the family Fabaceae. The genus Tamarindus is a monotypic taxon, having only a single species. The tamarind tree produces pod-like fruit, which contain an edible pulp that is used in cuisines around the world. Other uses of the pulp include traditional medicine and metal polish. The wood can be used for woodworking, and tamarind seed oil can be extracted from the seeds."
91,Tectona grandis,"Teak is a tropical hardwood tree species placed in the flowering plant family Lamiaceae. Tectona grandis is a large, deciduous tree that occurs in mixed hardwood forests. It has small, fragrant white flowers and large papery leaves that are often hairy on the lower surface. It is sometimes known as the ""Burmese teak"". Teak wood has a leather-like smell when it is freshly milled."
92,Terminalia catappa,"It is known by the English common names country-almond, Indian-almond, Malabar-almond, sea-almond, tropical-almond and false kamani. The tree grows up to 115 ft tall, with an upright, symmetrical crown and horizontal branches. Terminalia catappa has corky, light fruit that are dispersed by water. The seed within the fruit is edible when fully ripe, tasting almost like almond."
93,Thunbergia battiscombei,"Known as the scrambling sky flower, is a herbaceous weak stemmed perennial vine that tends to lean upon other plants for support. So scrambling clock vine is a herbaceous weak stemmed perennial vine that tends to lean upon other plants for support. When unsupported it will form a symmetrical mound of flopped over stems that is about 4 ft high by 6 ft wide. "
94,Tipuana tipu,"Also known as tipa, rosewood, and pride of Bolivia, is the only member of the genus Tipuana and well-known for its use as a shade tree. It is viewed as an invasive weed in some countries and is known for having a very aggressive root system. The tree roots can easily lift up concrete and asphalt. Precautions should be taken when planting near buildings, homes, or pools, as they are likely to be damaged."
95,Tradescantia spathacea,"The boatlily or Moses-in-the-cradle, has fleshy rhizomes and rosettes of waxy lance-shaped leaves. Leaves are dark to metallic green above, with glossy purple underneath. It has fleshy rhizomes and rosettes of waxy lance-shaped leaves. Leaves are dark to metallic green above, with glossy purple underneath. They are very attractive foliage plants that will reach 1 ft tall."
